100 88 5
79	30
73	60
62	25
42	72
26	62
70	40
56	25
6	46
11	18
56	65
12	69
74	79
46	4
10	65
1	35
7	55
1	78
9	31
16	46
45	80
55	67
31	57
7	17
9	74
55	28
67	59
2	31
50	46
23	58
39	48
34	54
20	66
63	37
27	46
8	36
49	69
67	48
30	42
37	54
25	11
76	28
51	41
49	77
74	20
69	37
41	18
2	11
12	31
13	3
77	31
46	26
26	25
74	43
60	7
26	78
4	70
5	45
18	16
9	69
31	40
80	50
38	54
65	74
40	18
48	25
61	11
71	20
25	6
59	3
48	72
52	41
18	66
55	16
7	46
73	53
23	77
3	25
60	17
40	61
8	21
57	52
42	12
61	34
43	56
78	55
6	73
43	28
75	59
23	51
44	19
68	18
68	45
59	79
56	62
8	17
57	54
69	40
43	9
74	12
45	15
15	38
64	27
3	33
6	8
74	73
74	2
42	49
45	34
3	53
35	19
26	64
37	78
48	3
9	18
33	22
26	42
72	11
42	50
68	77
13	73
2	65
39	29
79	21
40	54
25	52
45	7
4	23
42	43
3	65
42	47
70	32
61	16
72	29
74	38
78	4
51	32
49	3
54	74
72	78
66	31
18	75
53	48
58	70
42	45
9	1
28	41
57	1
76	5
76	42
36	46
6	23
47	6
34	54
5	48
34	57
10	6
28	49
49	12
6	37
37	27
63	55
13	68
30	47
42	50
42	33
30	53
4	12
78	19
40	2
42	5
12	60
21	37
66	13
69	55
18	73
5	4
37	68
42	33
64	20
70	24
4	21
72	4
70	69
74	22
16	58
12	45
56	62
39	70
55	15
20	50
59	68
40	14
12	49
54	23
29	46
11	4
65	2
5	76
42	47
61	41
80	40
43	52
79	47
47	68
36	4
44	67
4	24
74	78
61	28
40	61
50	34
58	55
74	56
19	1
8	10
48	54
57	54
19	10
17	7
42	48
68	32
58	77
47	3
73	57
52	1
65	20
75	43
15	25
59	19
22	78
66	55
72	47
39	46
65	48
31	44
74	16
15	68
33	72
52	18
6	63
27	60
79	26
56	76
14	55
71	40
22	6
1	76
18	80
70	46
45	2
8	25
13	33
10	13
45	15
3	59
64	73
76	42
33	47
51	1
42	9
39	23
7	46
16	11
65	31
36	35
32	47
27	67
79	4
62	44
20	49
15	19
8	41
38	13
9	3
76	45
6	78
41	15
51	68
39	43
67	62
18	67
71	79
17	37
12	51
74	57
78	52
48	39
65	26
67	40
61	14
10	12
80	25
62	14
16	65
17	80
55	71
47	21
14	66
80	73
58	50
25	51
53	19
42	73
8	26
19	61
35	51
1	3
63	67
43	51
74	32
65	66
58	4
48	59
1	26
77	73
55	4
7	80
38	18
42	58
75	23
44	56
26	23
39	21
5	57
64	57
16	53
32	18
45	25
71	1
71	7
8	22
17	60
58	5
72	26
61	9
20	17
13	61
49	27
18	52
6	27
51	26
22	12
77	13
55	79
21	42
51	36
39	43
49	8
55	51
39	23
9	74
50	58
48	14
57	26
60	30
48	45
14	41
28	72
57	76
58	5
22	21
25	49
6	33
70	43
69	16
69	41
31	13
72	23
30	27
77	44
67	42
56	68
35	36
57	53
40	35
18	23
36	57
47	65
57	5
27	76
34	60
70	32
39	16
78	62
6	1
11	16
69	24
38	50
62	35
63	48
12	59
11	38
29	39
70	71
63	33
12	18
28	32
11	38
30	17
88	90
90	81
88	91
91	81
88	92
81	92
95	92
92	95
92	94
94	81
-1	-1
61	4
77	58
2	14
8	67
66	56
60	37
43	69
69	25
45	32
36	42
3	60
54	36
60	41
13	34
76	45
21	64
25	26
16	18
68	11
23	50
41	15
12	58
77	2
61	69
37	45
64	59
37	80
43	50
30	58
17	26
78	23
23	25
74	18
74	61
29	6
27	26
14	75
66	49
20	37
51	45
1	67
22	18
23	12
17	7
58	73
75	36
9	73
69	47
7	4
15	71
73	55
71	7
76	72
76	20
68	2
64	40
34	12
48	36
60	17
62	15
30	46
67	52
9	57
26	63
3	25
67	38
52	43
72	62
73	26
59	73
66	6
33	39
31	76
6	76
4	67
32	60
49	67
16	60
34	48
39	18
2	1
5	53
66	19
22	34
30	2
44	9
64	20
32	40
38	54
43	17
30	7
47	71
28	61
80	46
35	65
69	60
37	39
36	62
13	77
62	15
44	39
80	43
74	48
21	37
66	16
78	48
25	62
27	60
7	54
8	34
68	41
48	24
18	11
74	65
60	9
31	41
62	65
27	8
7	39
30	45
4	50
52	50
41	20
33	34
71	57
1	31
58	67
32	28
1	10
61	54
35	69
78	5
63	56
3	78
22	23
22	28
16	42
46	5
41	8
47	77
57	48
44	48
63	66
1	46
46	10
18	57
17	61
43	73
65	21
73	5
45	38
39	63
20	10
71	72
45	19
50	39
37	24
4	10
42	29
27	35
46	6
9	71
7	73
79	2
5	31
3	14
51	13
6	42
8	4
41	45
31	7
28	61
44	54
79	43
58	3
66	15
75	100
10	64
79	36
24	20
63	7
56	79
75	30
51	54
69	3
30	51
